"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"var_capital";"var_acoes";"link";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"175";"PA";"EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";29576530,03;3789908,17;"SIM";"SIM";"NÃO";275515,67;"Não";930;615771,34;105120038,13;0;128089913,94;120150086,32;0;0;4e+06;0;0;"https://www,emater,pa,gov,br/storage/app/media/4_%20CARTA%20ANUAL2022,pdf";"Pará";"Norte";FALSE;FALSE;-128089913,94
"176";"PA";"COMPANHIA DE GÁS DO PARÁ";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";528000;2895;"SIM";"SIM";"NÃO";192000;"Não";15;1013769;1017129;0;0;0;0;0;382500;229500;0;"https://gasdopara.com.br/transparencia-publica/carta-anual-de-governanca";"Pará";"Norte";FALSE;FALSE;0
"177";"PA";"EMPRESA DE PROCESSAMNETO DE DADOS";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"EMPRESA PÚBLICA";"Dependente";21657505,46;0;"SIM";"SIM";"NÃO";288821,2;"Não";328;21657505,46;64746687,1;0;81713947,91;57490917,96;0;0;29081412,99;0;0;"nan";"Pará";"Norte";FALSE;FALSE;-81713947,91
"178";"PE";"AGENCIA DE DESENVOLVIMENTO ECONÔMICO DE PERNAMBUCO S/A - ADEPE";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";183872800;17798389,44;"SIM";"SIM";"NÃO";152109,25;"Não";311;0;24761575,07;0;0;0;0;0;35862477;0;0;"https://www,addiper,pe,gov,br/wp-content/uploads/2022/04/Carta-Anual-de-Pol%c3%adticas-P%c3%bablicas-e-Governan%c3%a7a-Corporativa-2022,pdf";"Pernambuco";"Nordeste";FALSE;FALSE;0
"179";"PE";"AGENCIA DE FOMENTO DO ESTADO DE PERNAMBUCO S.A. - AGE";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";55154542,01;-4070246,74;"SIM";"SIM";"NÃO";186533,33;"Não";69;0;5685903,28;0;0;0;6500000;6400000;78310010;6500000;6500000;"http://www,age,pe,gov,br/governancacorporativa";"Pernambuco";"Nordeste";FALSE;FALSE;-6500000
"180";"PE";"COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS - CEHAB";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";29525243;-9751725;"SIM";"SIM";"NÃO";101799,02;"Não";256;64904245,04;8643548,41;0;64291472,35;57119174,9;0;0;472970;0;0;"http://www,cehab,pe,gov,br/web/cehab/67";"Pernambuco";"Nordeste";FALSE;FALSE;-64291472,35
"181";"PE";"COMPANHIA EDITORA DE PERNAMBUCO - CEPE";"ATIVA";"COMUNICAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";54475832;-116528;"SIM";"SIM";"NÃO";205149,7;"Não";452;276507,44;13423217;0;0;0;0;0;66570000;0;0;"https://www,cepe,com,br/uploads/2022/04/29/626bdc542401a,carta-anual-de-polticas-pblicas-e-governana-corporativa-2021,pdf";"Pernambuco";"Nordeste";FALSE;FALSE;0
"182";"PE";"COMPANHIA PERNAMBUCANA DE SANEAMENTO - COMPESA";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";7145236043,37;246917084,3;"SIM";"SIM";"SIM";531631,6;"Não";6154;632718830,9;516080905,01;30045511,81;0;0;328395666,13;281033687,31;6491120232,93;789786605,06;20980466;"https://servicos,compesa,com,br/wp-content/uploads/2022/04/Carta-Anual-de-Politicas-Publicas-e-Governanca-Corporativa_2022,pdf";"Pernambuco";"Nordeste";TRUE;FALSE;-298350154,32
"183";"PE";"COMPANHIA PERNAMBUCANA DE GÁS - COPERGÁS";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";410113938,3;194912505,28;"SIM";"SIM";"SIM";348339,45;"Sim";191;57320184,43;35776240,8;59375240,8;0;0;0;0;220527578,6;12914649,09;9574208;"https://www,copergas,com,br/wp-content/uploads/2018/07/Carta-Anual-de-Pol--ticas-P--blicas-e-Governan--a-Corporativa-2022,pdf";"Pernambuco";"Nordeste";TRUE;FALSE;59375240,8
"184";"PE";"CONSORCIO DE TRANSPORTES DA REGIAO METROPOLITANA DO RECIFE - CTM";"ATIVA";"TRANSPORTE";"EMPRESA PÚBLICA";"Dependente";-180552941;-9516631,87;"NÃO";"SIM";"NÃO";310632,77;"Não";1204;171666,83;147262769,44;0;377998493,14;186430862,27;0;0;575700;0;0;"https://www,granderecife,pe,gov,br/sitegrctm/wp-content/uploads/2022/05/Carta-Anual,2022,pdf";"Pernambuco";"Nordeste";FALSE;FALSE;-377998493,14
